FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
121,,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,7.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.577366,28.5618571
122,,Falcon 9,3681.0,MEO,CCSFS SLC 40,True ASDS,9.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
123,,Falcon 9,6515.048089171974,ISS,CCSFS SLC 40,True ASDS,10.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.577366,28.5618571
124,,Falcon 9,1440.0,PO,KSC LC 39A,True ASDS,8.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13.0,B1058,-80.6039558,28.6080585
125,,Falcon 9,15600.0,VLEO,VAFB SLC 4E,True ASDS,2.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,6.0,B1063,-120.610829,34.632093
126,,Falcon 9,2972.0,ISS,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1067,-80.6039558,28.6080585
127,,Falcon 9,7000.0,GTO,KSC LC 39A,True ASDS,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1061,-80.6039558,28.6080585
128,,Falcon 9,6515.048089171974,,CCSFS SLC 40,True ASDS,2.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8.0,B1062,-80.577366,28.5618571
129,,Falcon 9,3500.0,GTO,VAFB SLC 4E,True RTLS,8.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,12.0,B1060,-120.610829,34.632093
130,,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,9.0,B1061,-80.577366,28.5618571
131,,Falcon 9,6515.048089171974,SSO,KSC LC 39A,True ASDS,10.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.6039558,28.6080585
132,,Falcon 9,15600.0,VLEO,VAFB SLC 4E,True ASDS,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8.0,B1062,-120.610829,34.632093
133,,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,2.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,5.0,B1067,-80.577366,28.5618571
134,,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,9.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13.0,B1058,-80.6039558,28.6080585
135,,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6.0,B1063,-80.6039558,28.6080585
136,,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,9.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,12.0,B1060,-80.577366,28.5618571
137,,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,5.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1061,-80.6039558,28.6080585
138,,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,11.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.577366,28.5618571
139,,Falcon 9,6515.048089171974,ISS,VAFB SLC 4E,True ASDS,3.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,5.0,B1067,-120.610829,34.632093
140,,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,1.0,B1069,-80.6039558,28.6080585
141,,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,8.0,B1062,-80.577366,28.5618571
142,,Falcon 9,15600.0,VLEO,VAFB SLC 4E,True RTLS,10.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,13.0,B1058,-120.610829,34.632093
143,,Falcon 9,13520.0,VLEO,KSC LC 39A,True ASDS,10.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,12.0,B1060,-80.6039558,28.6080585
144,,Falcon 9,112.0,LEO,CCSFS SLC 40,True RTLS,3.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,6.0,B1052,-80.577366,28.5618571
145,,Falcon 9,6515.048089171974,LEO,CCSFS SLC 40,True RTLS,1.0,True,False,True,5e9e3032383ecb554034e7c9,5.0,3.0,B1071,-80.577366,28.5618571
146,,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,6.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,9.0,B1061,-80.577366,28.5618571
147,,Falcon 9,3328.0,ISS,KSC LC 39A,True ASDS,11.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,13.0,B1058,-80.6039558,28.6080585
148,,Falcon 9,7000.0,GTO,VAFB SLC 4E,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6.0,B1063,-120.610829,34.632093
