FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
65,,Falcon 9,7076.0,GTO,CCSFS SLC 40,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1047,-80.577366,28.5618571
66,,Falcon 9,9600.0,PO,CCSFS SLC 40,True ASDS,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,3.0,B1046,-80.577366,28.5618571
67,,Falcon 9,5800.0,GTO,VAFB SLC 4E,False RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0.0,B1050,-120.610829,34.632093
68,,Falcon 9,7060.0,GTO,CCSFS SLC 40,None None,1.0,False,False,False,,5.0,0.0,B1054,-80.577366,28.5618571
69,,Falcon 9,2800.0,SSO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1049,-80.6039558,28.6080585
70,,Falcon 9,3000.0,GTO,KSC LC 39A,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048,-80.6039558,28.6080585
71,,Falcon 9,2573.0,ISS,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0.0,B1055,-80.577366,28.5618571
72,,Falcon 9,4400.0,MEO,VAFB SLC 4E,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,5.0,6.0,B1052,-120.610829,34.632093
73,,Falcon 9,9600.0,PO,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb90a834e7c8,5.0,1.0,B1053,-80.6039558,28.6080585
74,,Falcon 9,60.0,GTO,CCSFS SLC 40,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
75,,Falcon 9,585.0,GTO,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb554034e7c9,5.0,12.0,B1051,-80.577366,28.5618571
76,,Falcon 9,12259.0,ISS,CCSFS SLC 40,False ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0.0,B1057,-80.577366,28.5618571
77,,Falcon 9,6000.0,GTO,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,6.0,B1052,-80.577366,28.5618571
78,,Falcon 9,2482.0,ISS,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb90a834e7c8,5.0,1.0,B1053,-80.577366,28.5618571
79,,Falcon 9,13200.0,VLEO,KSC LC 39A,True RTLS,2.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,3.0,B1056,-80.6039558,28.6080585
80,,Falcon 9,1425.0,SSO,CCSFS SLC 40,None None,3.0,False,True,False,,5.0,2.0,B1047,-80.577366,28.5618571
81,,Falcon 9,600.0,MEO,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048,-80.577366,28.5618571
82,,Falcon 9,1668.0,LEO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1059,-80.577366,28.5618571
83,,Falcon 9,180.0,LEO,KSC LC 39A,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056,-80.6039558,28.6080585
84,,Falcon 9,70.0,LEO,KSC LC 39A,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.6039558,28.6080585
85,,Falcon 9,138.0,LEO,KSC LC 39A,None None,4.0,False,True,False,,5.0,3.0,B1046,-80.6039558,28.6080585
